user,fund,rating,return
user_7270,fund_860,3,-0.06439780129379609
user_5191,fund_3772,5,0.18266627209600733
user_5734,fund_466,3,0.24645039097328914
user_5578,fund_3444,4,0.1011870686328194
user_8322,fund_1685,5,0.10723040020632113
user_769,fund_2391,4,0.04647885911590964
user_6949,fund_2433,4,0.21948852308625877
user_6420,fund_1184,4,0.07988821236911513
user_3385,fund_4117,5,0.017157691970622252
user_8666,fund_1082,2,0.09768385072042204
user_2047,fund_2747,3,0.028093158281813385
user_1899,fund_1267,1,0.15362082121237408
user_3556,fund_3890,5,-0.05361652516698866
user_5393,fund_2435,1,0.2367667324392188
user_8433,fund_2041,1,0.15018432155597283
user_7513,fund_2612,2,0.05093644254848908
user_9555,fund_1478,4,0.10622914690007351
user_775,fund_4014,3,0.2426305159973935
user_3152,fund_1955,2,-0.09438760052702862
user_3943,fund_3073,2,0.22372600425962424
user_3843,fund_1500,2,0.16116558783224952
user_6873,fund_161,2,0.19223104476197597
user_995,fund_4911,4,-0.01675039810948223
user_1016,fund_337,5,-0.12871857973113776
user_4887,fund_3993,1,0.19936814372157619
user_4859,fund_379,5,-0.10229532344614621
user_7208,fund_2062,5,0.12996337845937808
user_64,fund_2568,1,-0.07825317502138195
user_2027,fund_2695,3,-0.03339820815157292
user_5618,fund_391,3,-0.194800936655524
user_5892,fund_3561,2,-0.08324449739666677
user_6184,fund_3099,1,0.13190169345780678
user_3104,fund_4598,5,0.1975933306676184
user_2731,fund_2773,3,0.060382098777340035
user_9762,fund_2690,1,0.053683341508221016
user_1028,fund_502,3,0.2912480946359188
user_4488,fund_206,2,-0.06073817239130917
user_7721,fund_1484,3,-0.2918925471721059
user_863,fund_2790,1,-0.05644278913250518
user_8755,fund_4191,4,-0.11990860607152119
user_1757,fund_1678,3,0.18763556257502637
user_4636,fund_1059,5,0.11116646764492444
user_9914,fund_3314,4,0.3232173898004643
user_9789,fund_3060,4,0.43544851242596666
user_3627,fund_1363,3,-0.21948126422507114
user_1663,fund_1529,4,-0.19622647900826107
user_5592,fund_3302,1,0.2536121076904832
user_1306,fund_4029,1,0.17620016596039606
user_5864,fund_1282,3,-0.15276994141699957
user_4413,fund_3748,1,0.05682072694377187
user_663,fund_1998,3,0.09378660731641983
